sample_id,dataset,filepath,error
FSD50K_021473,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\366199.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\366199.wav
FSD50K_021474,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\13844.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\13844.wav
FSD50K_021475,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\46198.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\46198.wav
FSD50K_021476,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\337524.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\337524.wav
FSD50K_021477,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\408186.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\408186.wav
FSD50K_021478,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\114299.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\114299.wav
FSD50K_021479,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\125565.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\125565.wav
FSD50K_021480,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\408194.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\408194.wav
FSD50K_021481,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\408196.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\408196.wav
FSD50K_021482,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\123012.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\123012.wav
FSD50K_021483,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\161414.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\161414.wav
FSD50K_021484,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\272015.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\272015.wav
FSD50K_021485,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\116754.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\116754.wav
FSD50K_021486,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\408220.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\408220.wav
FSD50K_021487,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\178846.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\178846.wav
FSD50K_021488,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\424606.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\424606.wav
FSD50K_021489,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\322213.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\322213.wav
FSD50K_021490,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\116756.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\116756.wav
FSD50K_021491,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\83623.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\83623.wav
FSD50K_021492,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\69289.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\69289.wav
FSD50K_021493,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\323755.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\323755.wav
FSD50K_021494,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\220844.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\220844.wav
FSD50K_021495,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\323756.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\323756.wav
FSD50K_021496,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\151216.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\151216.wav
FSD50K_021497,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\323762.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\323762.wav
FSD50K_021498,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199347.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199347.wav
FSD50K_021499,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199348.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199348.wav
FSD50K_021500,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199349.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199349.wav
FSD50K_021501,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\323766.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\323766.wav
FSD50K_021502,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\323767.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\323767.wav
FSD50K_021503,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\212664.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\212664.wav
FSD50K_021504,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199353.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199353.wav
FSD50K_021505,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\323764.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\323764.wav
FSD50K_021506,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199346.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199346.wav
FSD50K_021507,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199352.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199352.wav
FSD50K_021508,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\89789.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\89789.wav
FSD50K_021509,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\382654.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\382654.wav
FSD50K_021510,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\151231.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\151231.wav
FSD50K_021511,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\235200.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\235200.wav
FSD50K_021512,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\382661.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\382661.wav
FSD50K_021513,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\274117.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\274117.wav
FSD50K_021514,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\410834.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\410834.wav
FSD50K_021515,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\365786.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\365786.wav
FSD50K_021516,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\366299.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\366299.wav
FSD50K_021517,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\125665.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\125665.wav
FSD50K_021518,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\275681.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\275681.wav
FSD50K_021519,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\366192.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\366192.wav
FSD50K_021520,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\104164.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\104164.wav
FSD50K_021521,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\359142.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\359142.wav
FSD50K_021522,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\359143.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\359143.wav
FSD50K_021523,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\235754.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\235754.wav
FSD50K_021524,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\235755.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\235755.wav
FSD50K_021525,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\83693.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\83693.wav
FSD50K_021526,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\257775.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\257775.wav
FSD50K_021527,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\257272.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\257272.wav
FSD50K_021528,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199417.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199417.wav
FSD50K_021529,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\199418.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\199418.wav
FSD50K_021530,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\53500.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\53500.wav
FSD50K_021531,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\66813.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\66813.wav
FSD50K_021532,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\153342.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\153342.wav
FSD50K_021533,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\21762.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\21762.wav
FSD50K_021534,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\422151.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\422151.wav
FSD50K_021535,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\426256.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\426256.wav
FSD50K_021536,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\208662.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\208662.wav
FSD50K_021537,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\79136.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\79136.wav
FSD50K_021538,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\344354.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\344354.wav
FSD50K_021539,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377634.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377634.wav
FSD50K_021540,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\257828.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\257828.wav
FSD50K_021541,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377636.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377636.wav
FSD50K_021542,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\208678.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\208678.wav
FSD50K_021543,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\215849.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\215849.wav
FSD50K_021544,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37166.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37166.wav
FSD50K_021545,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37167.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37167.wav
FSD50K_021546,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\211246.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\211246.wav
FSD50K_021547,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37168.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37168.wav
FSD50K_021548,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37170.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37170.wav
FSD50K_021549,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37171.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37171.wav
FSD50K_021550,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37172.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37172.wav
FSD50K_021551,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37173.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37173.wav
FSD50K_021552,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37174.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37174.wav
FSD50K_021553,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37175.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37175.wav
FSD50K_021554,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37176.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37176.wav
FSD50K_021555,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37177.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37177.wav
FSD50K_021556,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\79155.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\79155.wav
FSD50K_021557,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\37179.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\37179.wav
FSD50K_021558,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\426815.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\426815.wav
FSD50K_021559,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\426816.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\426816.wav
FSD50K_021560,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\429508.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\429508.wav
FSD50K_021561,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\188229.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\188229.wav
FSD50K_021562,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\214854.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\214854.wav
FSD50K_021563,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\405320.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\405320.wav
FSD50K_021564,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\369490.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\369490.wav
FSD50K_021565,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\32599.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\32599.wav
FSD50K_021566,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\79199.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\79199.wav
FSD50K_021567,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\119142.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\119142.wav
FSD50K_021568,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\370027.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\370027.wav
FSD50K_021569,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\344433.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\344433.wav
FSD50K_021570,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\320389.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\320389.wav
FSD50K_021571,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18313.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18313.wav
FSD50K_021572,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18314.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18314.wav
FSD50K_021573,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18315.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18315.wav
FSD50K_021574,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18316.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18316.wav
FSD50K_021575,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18317.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18317.wav
FSD50K_021576,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18323.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18323.wav
FSD50K_021577,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18324.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18324.wav
FSD50K_021578,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\18325.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\18325.wav
FSD50K_021579,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\235934.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\235934.wav
FSD50K_021580,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\235935.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\235935.wav
FSD50K_021581,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\378278.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\378278.wav
FSD50K_021582,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\378286.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\378286.wav
FSD50K_021583,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\107448.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\107448.wav
FSD50K_021584,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\107449.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\107449.wav
FSD50K_021585,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\426429.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\426429.wav
FSD50K_021586,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82370.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82370.wav
FSD50K_021587,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82371.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82371.wav
FSD50K_021588,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\46020.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\46020.wav
FSD50K_021589,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82373.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82373.wav
FSD50K_021590,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\365510.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\365510.wav
FSD50K_021591,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82372.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82372.wav
FSD50K_021592,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\156103.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\156103.wav
FSD50K_021593,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\429509.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\429509.wav
FSD50K_021594,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82375.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82375.wav
FSD50K_021595,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82376.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82376.wav
FSD50K_021596,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\345035.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\345035.wav
FSD50K_021597,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82380.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82380.wav
FSD50K_021598,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82382.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82382.wav
FSD50K_021599,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82383.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82383.wav
FSD50K_021600,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\82381.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\82381.wav
FSD50K_021601,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\391128.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\391128.wav
FSD50K_021602,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\46195.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\46195.wav
FSD50K_021603,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\399333.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\399333.wav
FSD50K_021604,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\59878.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\59878.wav
FSD50K_021605,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\344552.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\344552.wav
FSD50K_021606,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\89578.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\89578.wav
FSD50K_021607,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\344555.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\344555.wav
FSD50K_021608,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\89579.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\89579.wav
FSD50K_021609,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\89580.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\89580.wav
FSD50K_021610,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\89581.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\89581.wav
FSD50K_021611,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\408057.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\408057.wav
FSD50K_021612,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\389548.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\389548.wav
FSD50K_021613,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\334201.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\334201.wav
FSD50K_021614,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\334208.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\334208.wav
FSD50K_021615,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\334214.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\334214.wav
FSD50K_021616,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\368137.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\368137.wav
FSD50K_021617,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\365328.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\365328.wav
FSD50K_021618,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\407718.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\407718.wav
FSD50K_021619,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\326323.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\326323.wav
FSD50K_021620,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\327123.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\327123.wav
FSD50K_021621,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\327130.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\327130.wav
FSD50K_021622,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\43778.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\43778.wav
FSD50K_021623,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\390153.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\390153.wav
FSD50K_021624,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\60938.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\60938.wav
FSD50K_021625,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\144420.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\144420.wav
FSD50K_021626,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\174884.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\174884.wav
FSD50K_021627,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\174885.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\174885.wav
